0.00,0.00,0.00,0.00,0.00,11558.64,0.00,8076.20
0.00,0.00,0.00,0.00,0.00,812.64,0.00,636.66
0.00,0.00,0.00,0.00,0.00,8265.60,0.00,4132.80
0.00,0.00,705.72,0.00,452.16,364.44,554.30,285.52
703.08,0.00,2424.36,0.00,15282.60,18195.96,7641.30,9097.98
1448.16,0.00,1564.44,0.00,8202.12,6220.32,7915.58,5225.91
0.00,0.00,1231.32,0.00,3462.72,11382.24,1731.36,5691.12
0.00,0.00,2102.40,0.00,6454.80,12816.12,3227.40,6408.06
0.00,0.00,1615.56,0.00,7331.04,13329.72,3665.52,6664.86
0.00,0.00,2163.60,0.00,2995.44,3792.48,3252.45,3186.17
2059.20,0.00,2492.40,0.00,22397.28,19728.36,11198.64,9864.18
0.00,0.00,2686.32,0.00,1063.56,0.00,1509.70,0.00
0.00,0.00,2451.36,0.00,3176.16,0.00,1588.08,0.00
77.52,0.00,3226.68,0.00,9291.48,15932.40,4645.74,7966.20
0.00,0.00,0.00,0.00,0.00,2262.12,0.00,1131.06
0.00,0.00,504.60,0.00,1719.96,4646.52,859.98,2323.26
1307.76,0.00,621.96,0.00,6457.20,0.00,0.00,0.00
873.12,0.00,0.00,0.00,1081.32,0.00,540.66,0.00
0.00,0.00,1516.08,0.00,3720.96,12425.28,1860.48,6212.64
1774.32,0.00,1635.84,0.00,6945.00,9131.40,3472.50,4565.70
0.00,0.00,24.72,0.00,372.12,7127.64,186.06,3563.82
0.00,0.00,139.80,0.00,640.20,5576.64,320.10,2788.32
315.24,0.00,0.00,0.00,808.20,0.00,0.00,0.00
0.00,0.00,56.16,0.00,220.68,1793.88,152.58,1170.64
0.00,0.00,0.00,0.00,0.00,3738.60,0.00,1869.30
485.76,0.00,2182.44,0.00,3010.44,0.00,1505.22,0.00
0.00,0.00,0.00,0.00,0.00,2242.32,0.00,1743.99
0.00,0.00,236.64,0.00,0.00,0.00,0.00,0.00
1640.64,0.00,0.00,0.00,0.00,0.00,186.10,0.00
0.00,0.00,838.68,0.00,1059.60,3282.60,1175.47,2757.83
0.00,0.00,423.72,0.00,472.20,0.00,236.10,0.00
0.00,0.00,1028.64,0.00,1050.12,2914.80,1232.12,2448.82
0.00,0.00,0.00,0.00,0.00,4460.28,0.00,2711.62
0.00,0.00,91.68,0.00,268.32,10301.40,134.16,5150.70
